"Ano","ID.IBGE","Localidade","ice_emprego","Empregos","Massa.Salarial","Renda.Mensal.Média","Distância.média","Ganho.de.oportunidade.médio","rank"
2019,13,"Amazonas",0.981,"591 Mil","R$ 1,71 Bilhão","R$ 2,89 Mil","0,807","0,078",7
2019,14,"Roraima",-0.836,"101 Mil","R$ 320 Milhões","R$ 3,15 Mil","0,933","0,14",22
2019,15,"Pará",-0.78,"1,08 Milhão","R$ 2,86 Bilhões","R$ 2,64 Mil","0,842","0,225",20
2019,16,"Amapá",-1.08,"128 Mil","R$ 495 Milhões","R$ 3,88 Mil","0,95","0,128",27
2019,17,"Tocantins",-1.072,"274 Mil","R$ 787 Milhões","R$ 2,87 Mil","0,909","0,174",26
2019,21,"Maranhão",-0.938,"748 Mil","R$ 1,78 Bilhão","R$ 2,38 Mil","0,868","0,205",24
2019,22,"Piauí",-0.954,"461 Mil","R$ 1,1 Bilhão","R$ 2,39 Mil","0,872","0,204",25
2019,23,"Ceará",-0.045,"1,48 Milhão","R$ 3,4 Bilhões","R$ 2,3 Mil","0,777","0,204",11
2019,24,"Rio Grande do Norte",-0.789,"597 Mil","R$ 1,49 Bilhão","R$ 2,49 Mil","0,836","0,233",21
2019,25,"Paraíba",-0.838,"644 Mil","R$ 1,44 Bilhão","R$ 2,23 Mil","0,865","0,204",23
2019,26,"Pernambuco",0.2,"1,58 Milhão","R$ 3,8 Bilhões","R$ 2,41 Mil","0,753","0,186",10
2019,27,"Alagoas",-0.68,"487 Mil","R$ 1,1 Bilhão","R$ 2,25 Mil","0,883","0,178",18
2019,28,"Sergipe",-0.493,"353 Mil","R$ 826 Milhões","R$ 2,34 Mil","0,826","0,218",16
2019,29,"Bahia",-0.356,"2,2 Milhões","R$ 5,42 Bilhões","R$ 2,46 Mil","0,75","0,261",14
2019,31,"Minas Gerais",0.232,"4,85 Milhões","R$ 12,1 Bilhões","R$ 2,49 Mil","0,661","0,24",9
2019,32,"Espírito Santo",0.253,"898 Mil","R$ 2,33 Bilhões","R$ 2,6 Mil","0,726","0,207",8
2019,33,"Rio de Janeiro",1.454,"3,96 Milhões","R$ 13,2 Bilhões","R$ 3,33 Mil","0,706","0,045",3
2019,35,"São Paulo",2.385,"13,4 Milhões","R$ 43,5 Bilhões","R$ 3,25 Mil","0,363","-0,255",1
2019,41,"Paraná",1.399,"3,12 Milhões","R$ 8,95 Bilhões","R$ 2,87 Mil","0,593","0,039",5
2019,42,"Santa Catarina",1.799,"2,32 Milhões","R$ 6,51 Bilhões","R$ 2,81 Mil","0,6","-0,033",2
2019,43,"Rio Grande do Sul",1.432,"2,89 Milhões","R$ 8,44 Bilhões","R$ 2,92 Mil","0,64","0,031",4
2019,50,"Mato Grosso do Sul",-0.324,"656 Mil","R$ 1,86 Bilhão","R$ 2,84 Mil","0,825","0,208",13
2019,51,"Mato Grosso",-0.591,"856 Mil","R$ 2,37 Bilhões","R$ 2,77 Mil","0,837","0,221",17
2019,52,"Goiás",-0.078,"1,51 Milhão","R$ 3,88 Bilhões","R$ 2,58 Mil","0,734","0,245",12
2019,53,"Distrito Federal",0.983,"1,07 Milhão","R$ 5,58 Bilhões","R$ 5,22 Mil","0,932","0,077",6
2020,11,"Rondônia",-0.526,"343 Mil","R$ 941 Milhões","R$ 2,75 Mil","0,842","0,204",16
