"Ano","ID.IBGE","Localidade","ice_emprego","Empregos","Massa.Salarial","Renda.Mensal.Média","Distância.média","Ganho.de.oportunidade.médio","rank"
2009,15,"Pará",-0.902,"871 Mil","R$ 1,1 Bilhão","R$ 1,26 Mil","0,829","0,237",24
2009,16,"Amapá",-1.367,"106 Mil","R$ 198 Milhões","R$ 1,87 Mil","0,934","0,141",27
2009,17,"Tocantins",-0.817,"52,6 Mil","R$ 41 Milhões","R$ 781","0,819","0,245",22
2009,21,"Maranhão",-0.691,"562 Mil","R$ 663 Milhões","R$ 1,18 Mil","0,852","0,198",20
2009,22,"Piauí",-0.805,"352 Mil","R$ 414 Milhões","R$ 1,18 Mil","0,88","0,18",21
2009,23,"Ceará",0.019,"1,24 Milhão","R$ 1,36 Bilhão","R$ 1,1 Mil","0,804","0,181",11
2009,24,"Rio Grande do Norte",-0.19,"539 Mil","R$ 663 Milhões","R$ 1,23 Mil","0,854","0,165",13
2009,25,"Paraíba",-0.404,"543 Mil","R$ 593 Milhões","R$ 1,09 Mil","0,863","0,169",17
2009,26,"Pernambuco",0.353,"1,4 Milhão","R$ 1,69 Bilhão","R$ 1,21 Mil","0,762","0,169",7
2009,27,"Alagoas",-0.365,"446 Mil","R$ 504 Milhões","R$ 1,13 Mil","0,884","0,156",16
2009,28,"Sergipe",-0.126,"344 Mil","R$ 474 Milhões","R$ 1,38 Mil","0,863","0,158",12
2009,29,"Bahia",-0.225,"2 Milhões","R$ 2,52 Bilhões","R$ 1,26 Mil","0,779","0,221",14
2009,31,"Minas Gerais",0.097,"4,35 Milhões","R$ 5,54 Bilhões","R$ 1,27 Mil","0,692","0,242",10
2009,32,"Espírito Santo",0.287,"817 Mil","R$ 1,13 Bilhão","R$ 1,38 Mil","0,753","0,187",8
2009,33,"Rio de Janeiro",2.032,"3,85 Milhões","R$ 6,82 Bilhões","R$ 1,77 Mil","0,689","-0,03",2
2009,35,"São Paulo",2.718,"12,1 Milhões","R$ 21,3 Bilhões","R$ 1,76 Mil","0,371","-0,287",1
2009,41,"Paraná",1.141,"2,64 Milhões","R$ 3,65 Bilhões","R$ 1,38 Mil","0,606","0,109",5
2009,42,"Santa Catarina",1.308,"1,84 Milhão","R$ 2,47 Bilhões","R$ 1,34 Mil","0,593","0,071",3
2009,43,"Rio Grande do Sul",1.183,"2,6 Milhões","R$ 3,81 Bilhões","R$ 1,46 Mil","0,625","0,086",4
2009,50,"Mato Grosso do Sul",-0.259,"524 Mil","R$ 733 Milhões","R$ 1,4 Mil","0,814","0,204",15
2009,51,"Mato Grosso",-0.613,"622 Mil","R$ 812 Milhões","R$ 1,31 Mil","0,797","0,254",19
2009,52,"Goiás",-0.426,"1,21 Milhão","R$ 1,53 Bilhão","R$ 1,26 Mil","0,758","0,266",18
2009,53,"Distrito Federal",0.214,"1,06 Milhão","R$ 3,55 Bilhões","R$ 3,34 Mil","0,945","0,086",9
2010,11,"Rondônia",-0.794,"334 Mil","R$ 523 Milhões","R$ 1,57 Mil","0,868","0,217",21
2010,12,"Acre",-1.251,"121 Mil","R$ 200 Milhões","R$ 1,65 Mil","0,928","0,171",26
2010,13,"Amazonas",0.812,"576 Mil","R$ 942 Milhões","R$ 1,64 Mil","0,799","0,113",6
2010,14,"Roraima",-1.069,"78,6 Mil","R$ 148 Milhões","R$ 1,88 Mil","0,93","0,164",24
2010,15,"Pará",-0.858,"951 Mil","R$ 1,37 Bilhão","R$ 1,44 Mil","0,835","0,256",23
2010,16,"Amapá",-1.339,"108 Mil","R$ 224 Milhões","R$ 2,07 Mil","0,938","0,16",27
2010,17,"Tocantins",-1.131,"239 Mil","R$ 348 Milhões","R$ 1,46 Mil","0,903","0,197",25
2010,21,"Maranhão",-0.843,"637 Mil","R$ 829 Milhões","R$ 1,3 Mil","0,853","0,232",22
2010,22,"Piauí",-0.793,"377 Mil","R$ 477 Milhões","R$ 1,26 Mil","0,883","0,204",20
2010,23,"Ceará",0.108,"1,33 Milhão","R$ 1,57 Bilhão","R$ 1,19 Mil","0,789","0,204",11
2010,24,"Rio Grande do Norte",-0.297,"575 Mil","R$ 802 Milhões","R$ 1,39 Mil","0,842","0,204",16
2010,25,"Paraíba",-0.279,"580 Mil","R$ 732 Milhões","R$ 1,26 Mil","0,871","0,178",15
2010,26,"Pernambuco",0.522,"1,54 Milhão","R$ 2,03 Bilhões","R$ 1,32 Mil","0,757","0,177",7
2010,27,"Alagoas",-0.442,"471 Mil","R$ 582 Milhões","R$ 1,24 Mil","0,869","0,196",19
2010,28,"Sergipe",-0.263,"370 Mil","R$ 563 Milhões","R$ 1,52 Mil","0,866","0,186",14
2010,29,"Bahia",-0.214,"2,14 Milhões","R$ 2,95 Bilhões","R$ 1,38 Mil","0,775","0,249",12
2010,31,"Minas Gerais",0.192,"4,65 Milhões","R$ 6,57 Bilhões","R$ 1,41 Mil","0,688","0,253",9
2010,32,"Espírito Santo",0.281,"860 Mil","R$ 1,32 Bilhão","R$ 1,54 Mil","0,746","0,216",8
2010,33,"Rio de Janeiro",1.554,"4,08 Milhões","R$ 7,9 Bilhões","R$ 1,94 Mil","0,693","0,049",2
2010,35,"São Paulo",2.629,"12,9 Milhões","R$ 24,5 Bilhões","R$ 1,9 Mil","0,361","-0,285",1
2010,41,"Paraná",1.488,"2,78 Milhões","R$ 4,24 Bilhões","R$ 1,52 Mil","0,596","0,056",3
2010,42,"Santa Catarina",1.386,"1,97 Milhão","R$ 2,93 Bilhões","R$ 1,49 Mil","0,599","0,063",5
2010,43,"Rio Grande do Sul",1.455,"2,8 Milhões","R$ 4,46 Bilhões","R$ 1,59 Mil","0,636","0,05",4
2010,50,"Mato Grosso do Sul",-0.387,"561 Mil","R$ 867 Milhões","R$ 1,55 Mil","0,823","0,233",17
2010,51,"Mato Grosso",-0.413,"657 Mil","R$ 969 Milhões","R$ 1,48 Mil","0,799","0,258",18
2010,52,"Goiás",-0.219,"1,31 Milhão","R$ 1,8 Bilhão","R$ 1,37 Mil","0,749","0,275",13
2010,53,"Distrito Federal",0.166,"1,1 Milhão","R$ 3,97 Bilhões","R$ 3,61 Mil","0,944","0,109",10
2011,11,"Rondônia",-0.87,"352 Mil","R$ 602 Milhões","R$ 1,71 Mil","0,864","0,212",22
2011,12,"Acre",-1.276,"243 Mil","R$ 438 Milhões","R$ 1,8 Mil","0,921","0,168",27
2011,13,"Amazonas",0.877,"598 Mil","R$ 1,07 Bilhão","R$ 1,79 Mil","0,795","0,097",6
2011,14,"Roraima",-1.074,"92 Mil","R$ 176 Milhões","R$ 1,91 Mil","0,927","0,152",25
2011,15,"Pará",-0.883,"1,04 Milhão","R$ 1,62 Bilhão","R$ 1,56 Mil","0,826","0,254",23
2011,16,"Amapá",-1.163,"119 Mil","R$ 255 Milhões","R$ 2,14 Mil","0,923","0,16",26
2011,17,"Tocantins",-0.994,"131 Mil","R$ 216 Milhões","R$ 1,65 Mil","0,869","0,219",24
2011,21,"Maranhão",-0.816,"675 Mil","R$ 976 Milhões","R$ 1,44 Mil","0,856","0,214",21
2011,22,"Piauí",-0.779,"393 Mil","R$ 552 Milhões","R$ 1,4 Mil","0,87","0,204",20
2011,23,"Ceará",0.177,"1,41 Milhão","R$ 1,87 Bilhão","R$ 1,33 Mil","0,773","0,191",11
2011,24,"Rio Grande do Norte",-0.361,"592 Mil","R$ 909 Milhões","R$ 1,53 Mil","0,836","0,202",16
2011,25,"Paraíba",-0.155,"615 Mil","R$ 844 Milhões","R$ 1,37 Mil","0,872","0,159",13
2011,26,"Pernambuco",0.28,"1,65 Milhão","R$ 2,45 Bilhões","R$ 1,49 Mil","0,767","0,187",9
2011,27,"Alagoas",-0.506,"498 Mil","R$ 673 Milhões","R$ 1,35 Mil","0,881","0,175",18
2011,28,"Sergipe",-0.411,"386 Mil","R$ 635 Milhões","R$ 1,65 Mil","0,868","0,178",17
2011,29,"Bahia",-0.146,"2,27 Milhões","R$ 3,41 Bilhões","R$ 1,51 Mil","0,757","0,238",12
2011,31,"Minas Gerais",0.213,"4,85 Milhões","R$ 7,57 Bilhões","R$ 1,56 Mil","0,686","0,239",10
2011,32,"Espírito Santo",0.353,"902 Mil","R$ 1,47 Bilhão","R$ 1,63 Mil","0,735","0,201",7
2011,33,"Rio de Janeiro",1.772,"4,35 Milhões","R$ 9,04 Bilhões","R$ 2,08 Mil","0,691","0,01",2
2011,35,"São Paulo",2.63,"13,4 Milhões","R$ 28 Bilhões","R$ 2,09 Mil","0,362","-0,281",1
2011,41,"Paraná",1.358,"2,92 Milhões","R$ 4,93 Bilhões","R$ 1,69 Mil","0,589","0,072",4
2011,42,"Santa Catarina",1.446,"2,06 Milhões","R$ 3,34 Bilhões","R$ 1,62 Mil","0,596","0,047",3
2011,43,"Rio Grande do Sul",1.288,"2,92 Milhões","R$ 5,05 Bilhões","R$ 1,73 Mil","0,626","0,068",5
2011,50,"Mato Grosso do Sul",-0.356,"598 Mil","R$ 1 Bilhão","R$ 1,68 Mil","0,826","0,213",15
2011,51,"Mato Grosso",-0.653,"709 Mil","R$ 1,15 Bilhão","R$ 1,61 Mil","0,801","0,264",19
2011,52,"Goiás",-0.299,"1,39 Milhão","R$ 2,12 Bilhões","R$ 1,53 Mil","0,752","0,269",14
2011,53,"Distrito Federal",0.349,"1,16 Milhão","R$ 4,27 Bilhões","R$ 3,7 Mil","0,934","0,098",8
2012,11,"Rondônia",-0.865,"365 Mil","R$ 655 Milhões","R$ 1,79 Mil","0,838","0,241",22
2012,12,"Acre",-1.255,"125 Mil","R$ 250 Milhões","R$ 2 Mil","0,913","0,181",27
2012,13,"Amazonas",1.143,"616 Mil","R$ 1,21 Bilhão","R$ 1,96 Mil","0,794","0,073",6
2012,14,"Roraima",-0.919,"93,8 Mil","R$ 187 Milhões","R$ 2 Mil","0,924","0,154",23
2012,15,"Pará",-0.986,"1,05 Milhão","R$ 1,85 Bilhão","R$ 1,76 Mil","0,834","0,254",24
2012,16,"Amapá",-1.213,"123 Mil","R$ 295 Milhões","R$ 2,4 Mil","0,921","0,167",26
2012,17,"Tocantins",-1.009,"217 Mil","R$ 362 Milhões","R$ 1,67 Mil","0,875","0,215",25
2012,21,"Maranhão",-0.804,"696 Mil","R$ 1,11 Bilhão","R$ 1,6 Mil","0,838","0,233",20
2012,22,"Piauí",-0.832,"418 Mil","R$ 629 Milhões","R$ 1,5 Mil","0,879","0,2",21
2012,23,"Ceará",0.223,"1,42 Milhão","R$ 2,06 Bilhões","R$ 1,45 Mil","0,763","0,192",10
2012,24,"Rio Grande do Norte",-0.292,"602 Mil","R$ 998 Milhões","R$ 1,66 Mil","0,823","0,207",14
2012,25,"Paraíba",-0.092,"628 Mil","R$ 909 Milhões","R$ 1,45 Mil","0,858","0,164",12
2012,26,"Pernambuco",0.278,"1,69 Milhão","R$ 2,8 Bilhões","R$ 1,65 Mil","0,757","0,186",9
2012,27,"Alagoas",-0.661,"505 Mil","R$ 739 Milhões","R$ 1,46 Mil","0,869","0,196",18
2012,28,"Sergipe",-0.584,"389 Mil","R$ 714 Milhões","R$ 1,84 Mil","0,872","0,189",17
2012,29,"Bahia",-0.156,"2,26 Milhões","R$ 3,7 Bilhões","R$ 1,64 Mil","0,757","0,239",13
2012,31,"Minas Gerais",0.064,"4,93 Milhões","R$ 8,34 Bilhões","R$ 1,69 Mil","0,683","0,262",11
2012,32,"Espírito Santo",0.399,"926 Mil","R$ 1,66 Bilhão","R$ 1,79 Mil","0,744","0,188",8
2012,33,"Rio de Janeiro",1.554,"4,46 Milhões","R$ 10,6 Bilhões","R$ 2,37 Mil","0,714","0,042",2
2012,35,"São Paulo",2.581,"13,8 Milhões","R$ 30,9 Bilhões","R$ 2,24 Mil","0,371","-0,272",1
2012,41,"Paraná",1.267,"3,03 Milhões","R$ 5,63 Bilhões","R$ 1,86 Mil","0,604","0,088",5
2012,42,"Santa Catarina",1.273,"2,1 Milhões","R$ 3,77 Bilhões","R$ 1,79 Mil","0,589","0,078",4
2012,43,"Rio Grande do Sul",1.277,"2,99 Milhões","R$ 5,68 Bilhões","R$ 1,9 Mil","0,63","0,071",3
2012,50,"Mato Grosso do Sul",-0.312,"617 Mil","R$ 1,13 Bilhão","R$ 1,83 Mil","0,815","0,221",15
2012,51,"Mato Grosso",-0.671,"745 Mil","R$ 1,35 Bilhão","R$ 1,82 Mil","0,799","0,267",19
2012,52,"Goiás",-0.367,"1,45 Milhão","R$ 2,52 Bilhões","R$ 1,74 Mil","0,753","0,279",16
2012,53,"Distrito Federal",0.961,"1,18 Milhão","R$ 4,59 Bilhões","R$ 3,89 Mil","0,929","0,082",7
2013,11,"Rondônia",-0.798,"368 Mil","R$ 710 Milhões","R$ 1,93 Mil","0,836","0,234",21
2013,12,"Acre",-1.158,"129 Mil","R$ 267 Milhões","R$ 2,07 Mil","0,921","0,164",27
2013,13,"Amazonas",1.165,"644 Mil","R$ 1,35 Bilhão","R$ 2,1 Mil","0,795","0,072",6
2013,14,"Roraima",-0.888,"92,2 Mil","R$ 207 Milhões","R$ 2,25 Mil","0,929","0,145",22
2013,15,"Pará",-0.919,"1,13 Milhão","R$ 2,2 Bilhões","R$ 1,96 Mil","0,845","0,234",25
2013,16,"Amapá",-0.985,"127 Mil","R$ 323 Milhões","R$ 2,55 Mil","0,922","0,155",26
2013,17,"Tocantins",-0.535,"115 Mil","R$ 152 Milhões","R$ 1,32 Mil","0,79","0,264",16
2013,21,"Maranhão",-0.892,"721 Mil","R$ 1,24 Bilhão","R$ 1,72 Mil","0,846","0,226",23
2013,22,"Piauí",-0.768,"444 Mil","R$ 742 Milhões","R$ 1,67 Mil","0,881","0,188",20
2013,23,"Ceará",0.174,"1,5 Milhão","R$ 2,35 Bilhões","R$ 1,57 Mil","0,758","0,199",10
2013,24,"Rio Grande do Norte",-0.317,"618 Mil","R$ 1,11 Bilhão","R$ 1,8 Mil","0,827","0,203",13
2013,25,"Paraíba",-0.386,"659 Mil","R$ 1,04 Bilhão","R$ 1,58 Mil","0,861","0,181",14
2013,26,"Pernambuco",0.192,"1,76 Milhão","R$ 3,16 Bilhões","R$ 1,8 Mil","0,752","0,196",9
2013,27,"Alagoas",-0.913,"509 Mil","R$ 823 Milhões","R$ 1,62 Mil","0,885","0,192",24
2013,28,"Sergipe",-0.56,"406 Mil","R$ 780 Milhões","R$ 1,92 Mil","0,873","0,183",18
2013,29,"Bahia",-0.154,"2,31 Milhões","R$ 4,13 Bilhões","R$ 1,79 Mil","0,761","0,232",12
2013,31,"Minas Gerais",0.098,"5,06 Milhões","R$ 9,41 Bilhões","R$ 1,86 Mil","0,696","0,247",11
2013,32,"Espírito Santo",0.437,"955 Mil","R$ 1,87 Bilhão","R$ 1,96 Mil","0,726","0,192",7
2013,33,"Rio de Janeiro",1.907,"4,59 Milhões","R$ 11,7 Bilhões","R$ 2,56 Mil","0,711","-0,003",2
2013,35,"São Paulo",2.532,"14 Milhões","R$ 34,4 Bilhões","R$ 2,45 Mil","0,36","-0,254",1
2013,41,"Paraná",1.221,"3,12 Milhões","R$ 6,41 Bilhões","R$ 2,05 Mil","0,592","0,097",5
2013,42,"Santa Catarina",1.486,"2,21 Milhões","R$ 4,36 Bilhões","R$ 1,97 Mil","0,585","0,042",3
2013,43,"Rio Grande do Sul",1.356,"3,08 Milhões","R$ 6,47 Bilhões","R$ 2,1 Mil","0,626","0,064",4
2013,50,"Mato Grosso do Sul",-0.557,"636 Mil","R$ 1,29 Bilhão","R$ 2,03 Mil","0,811","0,243",17
2013,51,"Mato Grosso",-0.684,"793 Mil","R$ 1,57 Bilhão","R$ 1,98 Mil","0,812","0,254",19
2013,52,"Goiás",-0.437,"1,51 Milhão","R$ 2,79 Bilhões","R$ 1,85 Mil","0,749","0,286",15
2013,53,"Distrito Federal",0.384,"1,3 Milhão","R$ 5,34 Bilhões","R$ 4,1 Mil","0,935","0,097",8
2014,11,"Rondônia",-0.725,"374 Mil","R$ 777 Milhões","R$ 2,08 Mil","0,842","0,221",19
2014,12,"Acre",-1.19,"133 Mil","R$ 306 Milhões","R$ 2,3 Mil","0,903","0,187",27
2014,13,"Amazonas",0.913,"643 Mil","R$ 1,45 Bilhão","R$ 2,25 Mil","0,79","0,092",6
2014,14,"Roraima",-0.831,"94,3 Mil","R$ 232 Milhões","R$ 2,46 Mil","0,92","0,154",21
2014,15,"Pará",-0.967,"1,15 Milhão","R$ 2,4 Bilhões","R$ 2,09 Mil","0,838","0,247",25
2014,16,"Amapá",-0.958,"133 Mil","R$ 368 Milhões","R$ 2,77 Mil","0,917","0,163",24
2014,17,"Tocantins",-1.011,"276 Mil","R$ 608 Milhões","R$ 2,2 Mil","0,895","0,189",26
2014,21,"Maranhão",-0.852,"739 Mil","R$ 1,38 Bilhão","R$ 1,86 Mil","0,839","0,234",22
2014,22,"Piauí",-0.863,"458 Mil","R$ 838 Milhões","R$ 1,83 Mil","0,878","0,2",23
2014,23,"Ceará",0.095,"1,55 Milhão","R$ 2,66 Bilhões","R$ 1,71 Mil","0,764","0,205",11
2014,24,"Rio Grande do Norte",-0.335,"632 Mil","R$ 1,24 Bilhão","R$ 1,96 Mil","0,833","0,2",14
2014,25,"Paraíba",-0.411,"679 Mil","R$ 1,18 Bilhão","R$ 1,74 Mil","0,857","0,185",15
2014,26,"Pernambuco",0.253,"1,77 Milhão","R$ 3,43 Bilhões","R$ 1,94 Mil","0,744","0,193",9
2014,27,"Alagoas",-0.777,"514 Mil","R$ 913 Milhões","R$ 1,77 Mil","0,877","0,194",20
2014,28,"Sergipe",-0.415,"417 Mil","R$ 857 Milhões","R$ 2,06 Mil","0,861","0,186",16
2014,29,"Bahia",-0.239,"2,37 Milhões","R$ 4,65 Bilhões","R$ 1,96 Mil","0,763","0,244",12
2014,31,"Minas Gerais",0.212,"5,07 Milhões","R$ 10,2 Bilhões","R$ 2,01 Mil","0,674","0,239",10
2014,32,"Espírito Santo",0.432,"968 Mil","R$ 2,07 Bilhões","R$ 2,14 Mil","0,739","0,183",8
2014,33,"Rio de Janeiro",1.546,"4,64 Milhões","R$ 12,9 Bilhões","R$ 2,78 Mil","0,704","0,043",3
2014,35,"São Paulo",2.54,"14,1 Milhões","R$ 37,2 Bilhões","R$ 2,64 Mil","0,363","-0,272",1
2014,41,"Paraná",1.334,"3,17 Milhões","R$ 7,01 Bilhões","R$ 2,21 Mil","0,599","0,062",5
2014,42,"Santa Catarina",1.678,"2,27 Milhões","R$ 4,94 Bilhões","R$ 2,17 Mil","0,601","-0,004",2
2014,43,"Rio Grande do Sul",1.516,"3,11 Milhões","R$ 7,13 Bilhões","R$ 2,29 Mil","0,625","0,028",4
2014,50,"Mato Grosso do Sul",-0.462,"654 Mil","R$ 1,43 Bilhão","R$ 2,19 Mil","0,813","0,234",17
2014,51,"Mato Grosso",-0.721,"805 Mil","R$ 1,76 Bilhão","R$ 2,19 Mil","0,81","0,258",18
2014,52,"Goiás",-0.253,"1,51 Milhão","R$ 3,09 Bilhões","R$ 2,04 Mil","0,727","0,278",13
2014,53,"Distrito Federal",0.488,"1,32 Milhão","R$ 5,58 Bilhões","R$ 4,23 Mil","0,928","0,1",7
2015,11,"Rondônia",-0.617,"359 Mil","R$ 806 Milhões","R$ 2,25 Mil","0,842","0,209",19
2015,12,"Acre",-1.085,"136 Mil","R$ 328 Milhões","R$ 2,41 Mil","0,903","0,179",26
2015,13,"Amazonas",1.031,"611 Mil","R$ 1,45 Bilhão","R$ 2,38 Mil","0,786","0,076",6
2015,14,"Roraima",-0.665,"96,6 Mil","R$ 259 Milhões","R$ 2,68 Mil","0,925","0,142",20
2015,15,"Pará",-1.109,"1,13 Milhão","R$ 2,56 Bilhões","R$ 2,27 Mil","0,841","0,252",27
2015,16,"Amapá",-0.859,"122 Mil","R$ 384 Milhões","R$ 3,15 Mil","0,932","0,14",21
2015,17,"Tocantins",-1.053,"275 Mil","R$ 664 Milhões","R$ 2,42 Mil","0,89","0,193",25
2015,21,"Maranhão",-0.892,"723 Mil","R$ 1,45 Bilhão","R$ 2,01 Mil","0,842","0,23",22
2015,22,"Piauí",-0.956,"461 Mil","R$ 920 Milhões","R$ 2 Mil","0,886","0,192",24
2015,23,"Ceará",-0.071,"1,54 Milhão","R$ 2,87 Bilhões","R$ 1,86 Mil","0,754","0,225",11
2015,24,"Rio Grande do Norte",-0.492,"609 Mil","R$ 1,27 Bilhão","R$ 2,08 Mil","0,833","0,211",16
2015,25,"Paraíba",-0.563,"667 Mil","R$ 1,25 Bilhão","R$ 1,87 Mil","0,852","0,197",17
2015,26,"Pernambuco",0.257,"1,67 Milhão","R$ 3,45 Bilhões","R$ 2,06 Mil","0,762","0,18",10
2015,27,"Alagoas",-0.91,"509 Mil","R$ 956 Milhões","R$ 1,88 Mil","0,876","0,201",23
2015,28,"Sergipe",-0.421,"405 Mil","R$ 845 Milhões","R$ 2,09 Mil","0,851","0,192",14
2015,29,"Bahia",-0.252,"2,31 Milhões","R$ 4,93 Bilhões","R$ 2,13 Mil","0,762","0,239",13
2015,31,"Minas Gerais",0.376,"4,82 Milhões","R$ 10,4 Bilhões","R$ 2,17 Mil","0,668","0,215",9
2015,32,"Espírito Santo",0.45,"925 Mil","R$ 2,1 Bilhões","R$ 2,27 Mil","0,738","0,176",8
2015,33,"Rio de Janeiro",1.598,"4,45 Milhões","R$ 13,2 Bilhões","R$ 2,96 Mil","0,702","0,026",3
2015,35,"São Paulo",2.485,"13,7 Milhões","R$ 39 Bilhões","R$ 2,85 Mil","0,364","-0,272",1
2015,41,"Paraná",1.377,"3,11 Milhões","R$ 7,59 Bilhões","R$ 2,44 Mil","0,592","0,048",5
2015,42,"Santa Catarina",1.648,"2,21 Milhões","R$ 5,23 Bilhões","R$ 2,36 Mil","0,585","-0,009",2
2015,43,"Rio Grande do Sul",1.391,"3,01 Milhões","R$ 7,45 Bilhões","R$ 2,48 Mil","0,625","0,044",4
2015,50,"Mato Grosso do Sul",-0.441,"646 Mil","R$ 1,54 Bilhão","R$ 2,38 Mil","0,83","0,216",15
2015,51,"Mato Grosso",-0.582,"801 Mil","R$ 1,9 Bilhão","R$ 2,38 Mil","0,829","0,229",18
2015,52,"Goiás",-0.165,"1,5 Milhão","R$ 3,28 Bilhões","R$ 2,19 Mil","0,722","0,264",12
2015,53,"Distrito Federal",0.521,"1,26 Milhão","R$ 6,03 Bilhões","R$ 4,77 Mil","0,933","0,091",7
2016,11,"Rondônia",-0.591,"341 Mil","R$ 817 Milhões","R$ 2,39 Mil","0,85","0,208",17
2016,12,"Acre",-1.07,"128 Mil","R$ 333 Milhões","R$ 2,6 Mil","0,915","0,17",26
2016,13,"Amazonas",0.903,"572 Mil","R$ 1,48 Bilhão","R$ 2,59 Mil","0,787","0,095",6
2016,14,"Roraima",-0.833,"94,6 Mil","R$ 277 Milhões","R$ 2,93 Mil","0,923","0,156",23
2016,15,"Pará",-0.956,"1,05 Milhão","R$ 2,6 Bilhões","R$ 2,47 Mil","0,845","0,243",25
2016,16,"Amapá",-0.936,"126 Mil","R$ 324 Milhões","R$ 2,58 Mil","0,914","0,166",24
2016,17,"Tocantins",-1.164,"264 Mil","R$ 674 Milhões","R$ 2,55 Mil","0,899","0,196",27
2016,21,"Maranhão",-0.789,"700 Mil","R$ 1,55 Bilhão","R$ 2,21 Mil","0,85","0,22",22
2016,22,"Piauí",-0.775,"442 Mil","R$ 981 Milhões","R$ 2,22 Mil","0,891","0,183",21
2016,23,"Ceará",-0.057,"1,44 Milhão","R$ 2,96 Bilhões","R$ 2,05 Mil","0,76","0,225",11
2016,24,"Rio Grande do Norte",-0.552,"586 Mil","R$ 1,34 Bilhão","R$ 2,29 Mil","0,841","0,217",15
2016,25,"Paraíba",-0.68,"635 Mil","R$ 1,3 Bilhão","R$ 2,05 Mil","0,853","0,21",18
2016,26,"Pernambuco",0.212,"1,59 Milhão","R$ 3,53 Bilhões","R$ 2,23 Mil","0,753","0,194",10
2016,27,"Alagoas",-0.747,"490 Mil","R$ 990 Milhões","R$ 2,02 Mil","0,875","0,197",20
2016,28,"Sergipe",-0.565,"383 Mil","R$ 898 Milhões","R$ 2,34 Mil","0,859","0,202",16
2016,29,"Bahia",-0.266,"2,17 Milhões","R$ 5,01 Bilhões","R$ 2,31 Mil","0,762","0,248",13
2016,31,"Minas Gerais",0.381,"4,63 Milhões","R$ 10,8 Bilhões","R$ 2,34 Mil","0,661","0,222",8
2016,32,"Espírito Santo",0.337,"869 Mil","R$ 2,11 Bilhões","R$ 2,43 Mil","0,732","0,201",9
2016,33,"Rio de Janeiro",1.553,"4,16 Milhões","R$ 12,9 Bilhões","R$ 3,11 Mil","0,686","0,036",4
2016,35,"São Paulo",2.473,"13,2 Milhões","R$ 40,1 Bilhões","R$ 3,04 Mil","0,357","-0,264",1
2016,41,"Paraná",1.345,"3,01 Milhões","R$ 7,93 Bilhões","R$ 2,63 Mil","0,572","0,06",5
2016,42,"Santa Catarina",1.628,"2,17 Milhões","R$ 5,56 Bilhões","R$ 2,57 Mil","0,595","0,002",2
2016,43,"Rio Grande do Sul",1.569,"2,91 Milhões","R$ 7,84 Bilhões","R$ 2,69 Mil","0,622","0,024",3
2016,50,"Mato Grosso do Sul",-0.308,"634 Mil","R$ 1,64 Bilhão","R$ 2,58 Mil","0,818","0,221",14
2016,51,"Mato Grosso",-0.725,"772 Mil","R$ 2,04 Bilhões","R$ 2,64 Mil","0,833","0,244",19
2016,52,"Goiás",-0.112,"1,45 Milhão","R$ 3,47 Bilhões","R$ 2,4 Mil","0,73","0,258",12
2016,53,"Distrito Federal",0.723,"1,25 Milhão","R$ 6,33 Bilhões","R$ 5,06 Mil","0,938","0,088",7
2017,11,"Rondônia",-0.581,"348 Mil","R$ 862 Milhões","R$ 2,48 Mil","0,854","0,208",16
2017,12,"Acre",-1.042,"131 Mil","R$ 364 Milhões","R$ 2,77 Mil","0,905","0,182",26
2017,13,"Amazonas",0.88,"584 Mil","R$ 1,58 Bilhão","R$ 2,71 Mil","0,778","0,097",7
2017,14,"Roraima",-0.638,"100 Mil","R$ 317 Milhões","R$ 3,16 Mil","0,933","0,14",18
2017,15,"Pará",-0.9,"1,07 Milhão","R$ 2,72 Bilhões","R$ 2,55 Mil","0,833","0,254",24
2017,16,"Amapá",-1.004,"128 Mil","R$ 337 Milhões","R$ 2,64 Mil","0,911","0,176",25
