"Ano","ID.IBGE","Localidade","ICE","ICE_normalizado","ICE_normalizado_ano"
2006,"11","Rondônia",-0.125,0.674583481035094,0.653041825095057
2006,"12","Acre",0.883,0.853243530662885,0.892585551330799
2006,"13","Amazonas",1.335,0.93335696561503,1
2006,"14","Roraima",0.257,0.74228996809642,0.743821292775665
2006,"15","Pará",-1.554,0.421304501949663,0.313450570342205
2006,"16","Amapá",-2.873,0.187522155264091,0
2006,"17","Tocantins",0.025,0.701169797943991,0.688688212927757
2006,"21","Maranhão",-2.383,0.274370790499823,0.116444866920152
2006,"22","Piauí",-0.857,0.544842254519674,0.479087452471483
2006,"23","Ceará",-0.039,0.689826302729528,0.673479087452471
2006,"24","Rio Grande do Norte",-0.37,0.631159163417228,0.594819391634981
2006,"25","Paraíba",0.029,0.701878766394895,0.689638783269962
2006,"26","Pernambuco",0.311,0.751861042183623,0.756653992395437
2006,"27","Alagoas",-0.12,0.675469691598724,0.654230038022814
2006,"28","Sergipe",0.123,0.718539524991138,0.711977186311787
2006,"29","Bahia",-0.091,0.680609712867777,0.661121673003802
2006,"31","Minas Gerais",-0.307,0.642325416518965,0.609790874524715
2006,"32","Espírito Santo",-0.545,0.600141793690181,0.553231939163498
2006,"33","Rio de Janeiro",0.611,0.805033676001418,0.827946768060836
2006,"35","São Paulo",1.314,0.929634881247784,0.995009505703422
2006,"41","Paraná",0.898,0.855902162353775,0.896150190114068
2006,"42","Santa Catarina",0.801,0.838709677419355,0.873098859315589
2006,"43","Rio Grande do Sul",0.784,0.835696561503013,0.869058935361217
2006,"50","Mato Grosso do Sul",0.667,0.814959234314073,0.841254752851711
2006,"51","Mato Grosso",-0.061,0.685926976249557,0.668250950570342
2006,"52","Goiás",0.348,0.758419000354484,0.765446768060836
2006,"53","Distrito Federal",0.94,0.863346331088267,0.906131178707224
2007,"11","Rondônia",-0.324,0.639312300602623,0.550758459743291
2007,"12","Acre",0.484,0.782523927685218,0.739323220536756
2007,"13","Amazonas",1.44,0.951967387451258,0.96242707117853
2007,"14","Roraima",0.551,0.794399149237859,0.754959159859977
2007,"15","Pará",-1.571,0.418291386033322,0.259743290548425
2007,"16","Amapá",-1.409,0.447004608294931,0.2975495915986
2007,"17","Tocantins",-0.32,0.640021269053527,0.55169194865811
2007,"21","Maranhão",-2.684,0.221020914569302,0
2007,"22","Piauí",-1.318,0.463133640552995,0.318786464410735
2007,"23","Ceará",-0.211,0.659340659340659,0.577129521586931
2007,"24","Rio Grande do Norte",-0.58,0.593938319744771,0.491015169194866
2007,"25","Paraíba",-0.027,0.69195320808224,0.620070011668611
2007,"26","Pernambuco",0.699,0.820630981921304,0.789498249708285
2007,"27","Alagoas",-0.184,0.664126196384261,0.58343057176196
2007,"28","Sergipe",-0.216,0.658454448777029,0.575962660443407
2007,"29","Bahia",-0.367,0.631690889755406,0.540723453908985
2007,"31","Minas Gerais",-0.303,0.643034384969869,0.555659276546091
2007,"32","Espírito Santo",-0.634,0.584367245657568,0.478413068844807
2007,"33","Rio de Janeiro",1.114,0.894186458702588,0.88634772462077
2007,"35","São Paulo",1.601,0.980503367600142,1
2007,"41","Paraná",0.955,0.866004962779156,0.84924154025671
2007,"42","Santa Catarina",0.811,0.840482098546615,0.815635939323221
2007,"43","Rio Grande do Sul",0.829,0.843672456575682,0.819836639439907
2007,"50","Mato Grosso do Sul",0.831,0.844026940801134,0.820303383897316
2007,"51","Mato Grosso",-0.469,0.613612194257356,0.516919486581097
2007,"52","Goiás",0.21,0.733959588798298,0.675379229871645
2007,"53","Distrito Federal",1.091,0.89010989010989,0.88098016336056
2008,"11","Rondônia",-0.207,0.660049627791563,0.663882171905913
2008,"12","Acre",0.567,0.797235023041475,0.834029457023522
2008,"13","Amazonas",1.088,0.889578163771712,0.948560123103979
2008,"14","Roraima",0.134,0.720489188231124,0.738843701912508
2008,"15","Pará",-1.938,0.353243530662885,0.283358979995603
2008,"16","Amapá",-1.065,0.507975895072669,0.475269289953836
2008,"17","Tocantins",-0.307,0.642325416518965,0.641899318531545
2008,"21","Maranhão",-3.227,0.124778447359093,0
2008,"22","Piauí",-0.52,0.60457284650833,0.595075840844142
2008,"23","Ceará",0.304,0.750620347394541,0.776214552648934
2008,"24","Rio Grande do Norte",-0.039,0.689826302729528,0.700813365574852
2008,"25","Paraíba",0.005,0.697624955689472,0.710485821059574
2008,"26","Pernambuco",0.717,0.823821339950372,0.867003737085074
2008,"27","Alagoas",0.019,0.700106345267636,0.713563420531985
2008,"28","Sergipe",0.194,0.731123714994683,0.752033413937129
2008,"29","Bahia",-0.148,0.670506912442396,0.67685205539679
2008,"31","Minas Gerais",-0.48,0.61166253101737,0.603868982193889
2008,"32","Espírito Santo",-1.176,0.488302020560085,0.450868322708288
2008,"33","Rio de Janeiro",1.176,0.905175469691599,0.967905034073423
2008,"35","São Paulo",1.322,0.931052818149592,1
2008,"41","Paraná",0.727,0.825593761077632,0.86920202242251
2008,"42","Santa Catarina",0.781,0.835164835164835,0.881072763244669
2008,"43","Rio Grande do Sul",0.838,0.845267635590216,0.893602989668059
2008,"50","Mato Grosso do Sul",0.588,0.80095710740872,0.838645856232139
2008,"51","Mato Grosso",-0.527,0.603332151719248,0.593537041107936
2008,"52","Goiás",0.267,0.74406238922368,0.768080896900418
2008,"53","Distrito Federal",0.906,0.857320099255583,0.908551329962629
2009,"11","Rondônia",-0.325,0.639135058489897,0.619058196357175
2009,"12","Acre",0.738,0.827543424317618,0.855175477565526
2009,"13","Amazonas",1.39,0.943105281814959,1
